STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
BIHAR,BHOJPUR,2021,135,33,0,22,0,22,46,13,33,32,0,49,114,214,18,196,240,0,31,0,0,515,23,0,4,29,0,102,1217,2806
BIHAR,BUXAR,2021,56,38,0,8,0,8,34,1,33,49,0,34,76,179,5,174,189,0,57,0,18,39,15,0,0,0,0,82,800,1674
BIHAR,DARBHANGA,2021,53,64,4,19,0,19,39,16,23,29,0,37,65,103,8,95,142,39,31,38,17,0,37,40,0,34,0,66,1715,2572
BIHAR,GAYA,2022,200,170,7,25,0,25,66,15,51,100,1,114,149,416,50,366,417,57,79,0,23,292,26,27,0,24,0,127,862,3182
BIHAR,GOPALGANJ,2022,107,92,4,13,0,13,59,18,41,32,7,73,81,153,25,128,227,45,75,0,6,42,22,0,2,155,0,96,807,2098
BIHAR,JAMALPUR RLY.,2022,7,0,0,1,0,1,4,0,4,9,2,13,1,117,4,113,0,0,3,0,0,0,0,1,0,1,0,4,62,225
BIHAR,JAMUI,2022,67,74,3,10,0,10,14,1,13,22,1,14,40,81,1,80,134,10,7,1,1,225,16,8,0,15,0,14,289,1046
BIHAR,JEHANABAD,2022,73,80,2,6,0,6,35,5,30,15,2,22,53,121,10,111,170,0,51,0,0,0,25,0,0,4,0,0,694,1353
BIHAR,KATIHAR,2022,60,47,2,51,0,51,49,20,29,49,0,30,49,146,13,133,193,26,23,5,1,64,6,6,0,29,0,71,904,1811
BIHAR,KATIHAR RLY.,2022,7,0,0,0,0,0,3,1,2,18,1,19,12,221,10,211,9,0,9,0,0,0,0,2,0,0,0,0,116,417
BIHAR,KHAGARIA,2022,72,27,2,5,0,5,34,6,28,6,3,29,17,86,7,79,167,4,6,0,1,5,11,6,0,2,0,59,353,895
BIHAR,KISHANGANJ,2023,25,15,1,22,0,22,23,16,7,19,0,10,34,57,10,47,116,15,5,0,8,4,4,2,1,39,0,16,481,897
BIHAR,LAKHISARAI,2023,61,44,5,10,0,10,30,7,23,9,0,13,25,79,3,76,93,5,6,0,4,9,6,12,0,5,0,33,305,754
BIHAR,MADHEPURA,2023,56,23,7,11,0,11,49,15,34,17,1,31,13,69,16,53,157,11,17,1,8,4,6,3,0,10,0,18,550,1062
BIHAR,MADHUBANI,2023,35,65,5,13,0,13,36,11,25,24,0,17,86,98,0,98,195,11,9,0,4,615,12,41,0,18,0,110,1503,2897
BIHAR,MOTIHARI,2023,114,98,11,44,0,44,100,35,65,30,7,79,105,271,3,268,365,46,103,6,23,112,37,3,1,47,0,36,2243,3881
